DATE,CH,HH,KA,KU,PM,TU,TEMP,BANJIR
1/4/2024,195.60,23.00,4.00,85.00,36.00,921.80,23.80,0.00
2/4/2024,191.20,26.00,4.00,81.00,48.00,922.00,23.10,0.00
3/4/2024,240.80,22.00,7.00,71.00,81.00,921.60,23.80,0.00
4/4/2024,304.80,21.00,5.00,75.00,66.00,922.10,23.90,0.00
5/4/2024,286.50,21.00,2.00,68.00,90.00,921.90,24.60,0.00
6/4/2024,76.20,8.00,3.00,76.00,66.00,923.20,22.30,0.00
7/4/2024,34.40,11.00,3.00,70.00,75.00,922.30,22.90,0.00
8/4/2024,11.40,1.00,3.00,80.00,65.00,923.00,23.10,0.00
9/4/2024,84.70,12.00,4.00,80.00,53.00,922.60,23.50,0.00
10/4/2024,83.50,7.00,6.00,77.00,59.00,923.20,24.50,0.00
11/4/2024,184.40,16.00,6.00,82.00,39.00,922.00,23.90,0.00
12/4/2024,238.90,25.00,5.00,81.00,54.00,921.60,23.00,1.00
1/5/2024,168.20,23.00,4.00,84.00,35.00,922.10,23.30,0.00
2/5/2024,416.70,26.00,4.00,81.00,53.00,922.90,23.10,5.00
3/5/2024,307.70,25.00,4.00,81.00,57.00,922.80,23.60,2.00
4/5/2024,166.90,24.00,3.00,79.00,64.00,922.70,23.70,0.00
5/5/2024,190.60,15.00,4.00,77.00,75.00,921.90,23.80,0.00
6/5/2024,201.60,20.00,4.00,80.00,71.00,921.60,23.40,0.00
7/5/2024,76.30,14.00,4.00,85.00,60.00,922.50,22.80,0.00
8/5/2024,64.20,10.00,3.00,82.00,68.00,922.60,23.40,0.00
9/5/2024,145.30,17.00,4.00,83.00,60.00,922.80,23.60,0.00
10/5/2024,114.90,18.00,4.00,84.00,57.00,922.30,23.50,0.00
11/5/2024,225.80,20.00,6.00,85.00,54.00,921.80,23.40,2.00
12/5/2024,204.70,28.00,6.00,83.00,49.00,920.70,23.30,5.00
1/6/2024,299.90,29.00,2.00,88.00,42.00,921.20,23.10,0.00
2/6/2024,282.30,22.00,4.00,78.00,65.00,921.50,23.50,0.00
3/6/2024,53.40,19.00,6.00,72.00,77.00,921.10,23.90,0.00
4/6/2024,232.60,23.00,6.00,73.00,83.00,921.20,23.50,1.00
5/6/2024,89.50,18.00,5.00,76.00,89.00,922.40,23.30,0.00
6/6/2024,32.20,8.00,5.00,78.00,77.00,922.60,22.70,0.00
7/6/2024,45.00,9.00,5.00,77.00,76.00,923.30,23.00,1.00
8/6/2024,0.00,0.00,4.00,80.00,67.00,923.10,22.60,0.00
9/6/2024,0.30,3.00,5.00,83.00,60.00,923.40,23.60,0.00
10/6/2024,57.10,11.00,5.00,82.00,67.00,923.90,24.40,0.00
11/6/2024,109.30,13.00,6.00,83.00,67.00,922.40,24.80,0.00
12/6/2024,499.80,30.00,6.00,85.00,47.00,921.80,23.20,1.00
1/7/2024,127.50,16.00,3.00,86.00,38.00,922.50,24.10,0.00
2/7/2024,405.70,24.00,3.00,87.00,87.00,922.60,22.80,1.00
3/7/2024,105.40,26.00,3.00,73.00,64.00,921.30,23.40,0.00
4/7/2024,462.00,29.00,3.00,72.00,81.00,922.20,22.90,0.00
